,Latitude,Longitude,Borough,Neighborhood,price1,price2,price3,price4
0,40.54928582278321,-74.18588674583893,Staten Island,Arden Heights,5,4,0,0
0,40.555295236173194,-74.17079414786092,Staten Island,Greenridge,11,4,1,0
0,40.58913894875281,-74.15902208156601,Staten Island,Heartland Village,17,2,0,0
0,40.59472602746295,-74.1895604551969,Staten Island,Chelsea,8,4,1,0
0,40.60577868452358,-74.18725638381567,Staten Island,Bloomfield,4,0,0,0
0,40.6095918004203,-74.15940948657122,Staten Island,Bulls Head,15,10,1,1
0,40.7826825671257,-73.95325646837112,Manhattan,Carnegie Hill,64,59,19,2
0,40.72325901885768,-73.98843368023597,Manhattan,Noho,50,76,27,5
0,40.71522892046282,-74.00541529873355,Manhattan,Civic Center,56,36,26,4
0,40.7485096643122,-73.98871313285247,Manhattan,Midtown South,36,56,30,10
0,40.56960594275505,-74.1340572986257,Staten Island,Richmond Town,7,4,0,0
0,40.60971934079284,-74.06667766061771,Staten Island,Shore Acres,11,8,1,0
0,40.61917845202843,-74.072642445484,Staten Island,Clifton,18,11,2,0
0,40.6044731896879,-74.08402364740358,Staten Island,Concord,13,8,1,1
0,40.606794394801,-74.09776206972522,Staten Island,Emerson Hill,5,2,1,0
0,40.63563000681151,-74.09805062373887,Staten Island,Randall Manor,19,10,2,0
0,40.63843283794795,-74.18622331749823,Staten Island,Howland Hook,0,1,1,0
0,40.630146741193826,-74.1418167896889,Staten Island,Elm Park,31,15,0,0
0,40.652117451793494,-73.91665331978048,Brooklyn,Remsen Village,25,9,2,0
0,40.6627442796966,-73.88511776379292,Brooklyn,New Lots,27,5,0,1
0,40.63131755039667,-73.90233474295836,Brooklyn,Paerdegat Basin,7,5,0,0
0,40.61597423962336,-73.91515391550404,Brooklyn,Mill Basin,23,12,5,0
0,40.71145964370482,-73.79646462081593,Queens,Jamaica Hills,37,16,1,1
0,40.73350025429757,-73.79671678028349,Queens,Utopia,23,12,1,1
0,40.73493618075478,-73.80486120040537,Queens,Pomonok,16,6,0,0
0,40.7703173929982,-73.89467996270574,Queens,Astoria Heights,18,11,4,0
0,40.83142834161548,-73.90119903387667,Bronx,Claremont Village,10,0,0,0
0,40.824780490842905,-73.91584652759009,Bronx,Concourse Village,37,12,2,0
0,40.84382617671654,-73.91655551964419,Bronx,Mount Eden,25,4,2,0
0,40.84884160724665,-73.90829930881988,Bronx,Mount Hope,31,4,3,0
0,40.76028033131374,-73.96355614094303,Manhattan,Sutton Place,35,44,23,16
0,40.743414090073536,-73.95386782130745,Queens,Hunters Point,35,43,6,1
0,40.75204236950722,-73.96770824581834,Manhattan,Turtle Bay,51,67,30,9
0,40.746917410740195,-73.97121928722265,Manhattan,Tudor City,45,0,31,12
0,40.73099955477061,-73.97405170469203,Manhattan,Stuyvesant Town,47,74,13,2
0,40.739673047638426,-73.9909471052826,Manhattan,Flatiron,34,62,32,13
0,40.74565180608076,-73.91819286431682,Queens,Sunnyside Gardens,48,49,5,1
0,40.73725071694497,-73.93244235260178,Queens,Blissville,26,12,1,0
0,40.70328109093014,-73.99550751888415,Brooklyn,Fulton Ferry,47,41,7,2
0,40.70332149882874,-73.98111603592393,Brooklyn,Vinegar Hill,19,13,4,0
0,40.67503986503237,-73.93053108817338,Brooklyn,Weeksville,37,12,4,0
0,40.67786104769531,-73.90331684852599,Brooklyn,Broadway Junction,27,7,1,0
0,40.70317632822692,-73.9887528074504,Brooklyn,Dumbo,29,20,8,2
0,40.60180957631444,-74.12059399718001,Staten Island,Manor Heights,15,2,1,0
0,40.60370692627371,-74.13208447484298,Staten Island,Willowbrook,13,3,2,0
0,40.541139922091766,-74.21776636068567,Staten Island,Sandy Ground,12,2,0,0
0,40.579118742961214,-74.12727240604946,Staten Island,Egbertville,6,1,0,0
0,40.56737588957032,-73.89213760232822,Queens,Roxbury,4,2,0,0
0,40.598525095137255,-73.95918459428702,Brooklyn,Homecrest,29,16,3,0
0,40.716414511158185,-73.88114319200604,Queens,Middle Village,22,9,0,0
